ID,Name,Sex,Age,Team,NOC,Year,Season,Sport,Event,Medal
35361,Peter Fill,M,27,Italy,ITA,2010,Winter,Alpine Skiing,Men's Super G,N
60515,Nienke Kingma,F,26,Netherlands,NED,2008,Summer,Rowing,Women's Coxed Eights,Silver
19690,"Man Yee ""Maggie"" Chan (-Roper)",F,24,China,HKG,2000,Summer,Athletics,"Women's 10,000 metres",N
74847,Kstutis Mariulionis,M,24,Lithuania,LTU,2000,Summer,Basketball,Men's Basketball,Bronze
67584,Paulo Vicente Pereira d'Ea e Albuquerque Leal,M,35,Portugal,POR,1936,Summer,Fencing,"Men's epee, Team",N
131145,"Reginald Edwin ""Regi"" Witherspoon",M,23,USA,USA,2008,Summer,Athletics,Men's 4 x 400 metres Relay,Gold
46336,Curt Hartzell,M,20,Sweden,SWE,1912,Summer,Gymnastics,"Men's Team All-Around, Swedish System",Gold
1439,Murielle Ahour,F,28,Ivory Coast,CIV,2016,Summer,Athletics,Women's 100 metres,N
37722,Scott Michael Fusco,M,25,USA,USA,1988,Winter,Ice Hockey,Men's Ice Hockey,N
102863,Mathias Rthenmund,M,25,Switzerland,SUI,2000,Summer,Canoeing,"Men's Kayak Singles, Slalom",N
349,Waheed Abdulridha Waheed Karaawi,M,33,Iraq,IRQ,2016,Summer,Boxing,Men's Middleweight,N
34272,Jane Fauntz (-Manske),F,17,USA,USA,1928,Summer,Swimming,Women's 200 metres Breaststroke,N
119762,"Andrea Irmgard Thomas (Bersch-, -Wei)",F,25,Germany,FRG,1988,Summer,Athletics,Women's 4 x 100 metres Relay,N
129916,Colin James Campbell Whalley,M,27,UK,GBR,1968,Summer,Hockey,Men's Hockey,N
42272,"James Robert ""Jay"" Graham",M,42,USA,USA,1912,Summer,Shooting,"Men's Trap, Team",Gold
37018,Karl-Heinz Freiberger,M,27,Germany,GDR,1968,Summer,Hockey,Men's Hockey,N
77664,Mary Olive McKean (-Mucha),F,20,USA,USA,1936,Summer,Swimming,Women's 4 x 100 metres Freestyle Relay,Bronze
64991,Jaakko Aulis Kunnas,M,24,Finland,FIN,1928,Summer,Gymnastics,Men's Parallel Bars,N
80270,Hanna Mirhorodska,F,16,Ukraine,UKR,1996,Summer,Gymnastics,Women's Balance Beam,N
87382,Kaysar Yelyubayevich Nurmaganbetov,M,23,Kazakhstan,KAZ,2000,Summer,Canoeing,"Men's Canadian Singles, 500 metres",N
21660,Aigars Cipruss,M,34,Latvia,LAT,2006,Winter,Ice Hockey,Men's Ice Hockey,N
127715,Miljan Vukovi,M,22,Serbia,SRB,2012,Summer,Rowing,Men's Coxless Fours,N
18177,Oscar Crdenas,M,25,Cuba,CUB,2008,Summer,Judo,Men's Half-Middleweight,N
13839,Werner Botha,M,22,South Africa,RSA,2000,Summer,Athletics,Men's 800 metres,N
7338,Valentina Ballod (-Lebedinskaya),F,19,Russia,URS,1956,Summer,Athletics,Women's High Jump,N
3839,Kevin Anderson,M,22,South Africa,RSA,2008,Summer,Tennis,Men's Singles,N
98953,Ricardo Raschini,M,38,Brazil,BRA,2006,Winter,Bobsleigh,Men's Four,N
29453,Fritz Dopfer,M,26,Germany,GER,2014,Winter,Alpine Skiing,Men's Slalom,N
62063,"Margretta ""Gretta"" Kok (-Mevissen)",F,19,Netherlands,NED,1964,Summer,Swimming,Women's 200 metres Breaststroke,N
43584,Manuel da Silva Guerra,M,42,Portugal,POR,1932,Summer,Shooting,"Men's Small-Bore Rifle, Prone, 50 metres",N
105203,Laura Snchez Rodrguez,F,20,Mexico,MEX,1992,Summer,Swimming,Women's 400 metres Freestyle,N
70283,Nils Rune Lindstrm,M,19,Sweden,SWE,1964,Winter,Alpine Skiing,Men's Giant Slalom,N
112754,Kazuko Sogabe,F,24,Japan,JPN,1960,Summer,Gymnastics,Women's Horse Vault,N
84470,Srabani Nanda,F,25,India,IND,2016,Summer,Athletics,Women's 200 metres,N
